#Mean Central England Temperature 1659 to 2022
#Units: Degrees Celsius
#Notes:
#1) seasonal values are calculated from the monthly data by
#   averageing the three monthly values
#2) Seasons are Win=DJF   Spr=MAM   Sum=JJA   Aut=SON
#3) Winter: year refers to January
#4) Seasonal data exist for Spring 1659 onwards
#
# Year   Win    Spr    Sum    Aut  Annual
  1785    1.4    7.3   15.3    9.3    8.6
  1786    2.9    7.1   15.4    7.5    8.2
  1787    4.0    8.6   15.1    9.0    9.3
  1788    3.8    8.9   15.6    9.8    9.2
  1789    2.0    7.3   15.3    8.7    8.9
  1790    5.6    8.1   15.0    9.5    9.4
  1791    4.4    8.9   15.3    9.5    9.3
  1792    2.6    8.6   15.1    9.2    9.2
  1793    3.9    7.1   15.3    9.7    9.1
  1794    4.7    9.5   16.4    9.4    9.9
  1795    0.5    7.5   15.0   10.7    8.7
  1796    6.2    8.2   14.8    9.1    9.0
  1797    2.5    7.6   15.5    8.4    9.0
  1798    4.1    9.4   16.5    9.4    9.6
  1799    2.0    6.1   14.5    8.9    7.9
  1800    2.1    8.5   16.2    9.5    9.3
  1801    4.2    9.0   16.0    9.7    9.6
  1802    2.2    8.4   14.8    9.7    9.0
  1803    2.9    8.6   15.8    8.6    9.1
  1804    4.4    8.3   15.9   10.5    9.6
  1805    2.7    8.2   15.2    9.2    9.0
  1806    4.0    8.0   15.5   10.6    9.8
  1807    4.4    7.5   16.1    8.3    8.7
  1808    2.4    7.6   16.7    8.6    8.9
  1809    3.2    8.1   14.6    9.2    9.0
  1810    3.3    7.4   14.8    9.7    8.8
  1811    3.1    9.6   14.9   11.3    9.7
  1812    3.6    6.6   13.9    9.1    8.2
  1813    3.1    8.7   14.4    8.3    8.7
  1814    0.4    7.2   14.3    8.5    7.8
  1815    3.6    9.4   14.8    9.0    9.1
  1816    2.4    6.8   13.4    8.7    7.9
  1817    4.6    7.3   14.3    9.5    8.9
  1818    3.2    7.6   16.6   11.6    9.9
  1819    4.1    9.0   15.8    8.9    9.3
  1820    1.4    8.3   14.7    8.7    8.6
  1821    3.5    8.2   14.5   11.3    9.6
  1822    5.8    9.6   16.0   10.4   10.1
  1823    1.5    8.0   13.6    9.3    8.4
  1824    4.6    7.6   14.9   10.1    9.3
  1825    4.3    8.6   15.9   10.4    9.8
